AccelX_1,AccelY_1,AccelZ_1,GyroX_1,GyroY_1,GyroZ_1,AccelX_2,AccelY_2,AccelZ_2,GyroX_2,GyroY_2,GyroZ_2,AccelX_3,AccelY_3,AccelZ_3,GyroX_3,GyroY_3,GyroZ_3,AccelX_3,AccelY_3,AccelZ_3,GyroX_3,GyroY_3,GyroZ_3
-2.242699862,3.6322999,8.723400116,0.045899998,-0.290800005,-0.020499999,3.237999916,2.560499907,8.991000175,-0.073699996,-0.090999998,-0.0133,-3.07069993,9.044799805,-1.531799912,0.276499987,0.095799997,-0.501999974,-3.07069993,9.044799805,-1.531799912,0.276499987,0.095799997,-0.501999974
-2.223599911,3.629899979,8.720999718,0.0634,-0.290800005,0.0495,3.241499901,2.561699867,8.99339962,0.066299997,-0.055999998,0.0392,-3.04919982,9.044300079,-1.52459991,0.192499995,0.0363,-0.354999989,-3.04919982,9.044300079,-1.52459991,0.192499995,0.0363,-0.354999989
-2.225899935,3.629899979,8.729299545,0.0284,-0.255799979,-0.020499999,3.235599995,2.554499865,8.986199379,0.0138,0.031500001,-0.065799996,-3.041499853,9.05189991,-1.511199951,0.276499987,0.0363,-0.270999998,-3.041499853,9.05189991,-1.511199951,0.276499987,0.0363,-0.270999998
-2.228299856,3.635799885,8.729299545,0.0284,-0.010799999,-0.055499997,3.239199877,2.560499907,8.995800018,0.031300001,-0.0385,-0.0133,-3.044399977,9.05189991,-1.5079,0.346499979,-0.114199996,-0.344500005,-3.044399977,9.05189991,-1.5079,0.346499979,-0.114199996,-0.344500005
-2.224299908,3.640899897,8.728899956,-0.055599999,-0.059799999,-0.076499999,3.247499943,2.556900024,8.977899551,-0.021199999,-0.021,0.0042,-3.050400019,9.045999527,-1.50669992,0.416500002,-0.271699995,-0.309499979,-3.050400019,9.045999527,-1.50669992,0.416500002,-0.271699995,-0.309499979
-2.230000019,3.622699976,8.727000237,-0.055599999,0.038199998,-0.0625,3.235599995,2.561699867,8.979100227,-0.126199991,0.083999999,-0.0133,-3.050400019,9.047200203,-1.523399949,0.538999975,-0.359200001,-0.274499983,-3.050400019,9.047200203,-1.523399949,0.538999975,-0.359200001,-0.274499983
-2.231899977,3.643699884,8.730799675,-0.013599999,0.0242,-0.0625,3.243899822,2.552099943,8.969499588,-0.0037,0.083999999,0.021699999,-3.037699938,9.057700157,-1.527499914,0.444499999,-0.397699982,-0.20099999,-3.037699938,9.057700157,-1.527499914,0.444499999,-0.397699982,-0.20099999
-2.232899904,3.627499819,8.736499786,-0.111599997,0.066199996,0.035499997,3.236799955,2.550899982,8.983799934,-0.056199998,0.031500001,-0.0133,-3.03579998,9.048099518,-1.536999941,0.402500004,-0.341699988,-0.256999999,-3.03579998,9.048099518,-1.536999941,0.402500004,-0.341699988,-0.256999999
-2.228100061,3.638899803,8.738399506,0.084399998,-0.0038,-0.0625,3.239199877,2.553299904,8.982699394,-0.0037,0.048999999,-0.0133,-3.040799856,9.049599648,-1.556800008,0.398999989,-0.306699991,-0.256999999,-3.040799856,9.049599648,-1.556800008,0.398999989,-0.306699991,-0.256999999
-2.235699892,3.619799852,8.713600159,-0.0416,0.0942,0.077500001,3.249899864,2.553299904,8.984999657,-0.038699999,0.031500001,0.056699999,-3.026499987,9.056699753,-1.548499942,0.346499979,-0.131699994,-0.326999992,-3.026499987,9.056699753,-1.548499942,0.346499979,-0.131699994,-0.326999992
